date,home_team,away_team,score,minutes_played,goals,assists,shots_total,shots_on_target,passes_total,passes_key,pass_accuracy_pct,free_kicks_won,fouls_committed,dribbles_attempted,dribbles_success,tackles,rating
2022-10-09,Lille,Lens,1-0,17,0,0,1,0,9,0,7,0,0,0,0,0,6.2
2022-10-14,Strasbourg,Lille,0-3,25,0,2,0,0,12,2,9,0,1,0,0,0,7.6
2022-10-23,Lille,Monaco,4-3,24,0,0,1,1,10,0,8,0,0,0,0,0,6.2
2022-10-30,Lyon,Lille,1-0,70,0,0,1,0,23,0,15,1,1,0,0,0,6.5
2022-11-06,Lille,Rennes,1-1,90,0,0,1,0,68,1,56,0,0,1,1,1,6.9
2022-11-13,Lille,Angers,1-0,90,0,0,0,0,34,1,32,1,1,0,0,2,7
2022-12-28,Clermont Foot,Lille,0-2,12,0,0,0,0,1,0,,1,0,0,0,0,6.7
2023-01-02,Lille,Reims,1-1,10,0,0,0,0,8,0,7,0,0,0,0,0,6.3
2023-01-11,Stade Brestois 29,Lille,0-0,12,0,0,0,0,9,0,7,0,0,0,0,0,6.7
2023-01-15,Lille,Estac Troyes,5-1,75,0,0,3,2,40,2,35,0,3,1,0,4,7.5
2023-01-29,Nice,Lille,1-0,90,0,0,3,3,32,1,27,2,0,4,3,1,7.2
2023-02-01,Lille,Clermont Foot,0-0,82,0,0,3,2,21,1,17,1,0,3,2,0,7.2
2023-02-04,Rennes,Lille,1-3,55,0,0,0,0,24,0,20,0,1,2,0,1,6.3
2023-02-12,Lille,Strasbourg,2-0,87,0,0,0,0,39,1,36,1,2,3,1,1,6.6
2023-02-19,Paris Saint Germain,Lille,4-3,90,0,0,2,1,50,3,45,1,0,0,0,1,6.6
2023-02-24,Lille,Stade Brestois 29,2-1,90,0,0,0,0,55,0,50,0,0,1,1,0,6.6
2023-03-04,Lens,Lille,1-1,90,0,0,0,0,48,0,41,0,1,0,0,0,6.3
2023-03-10,Lille,Lyon,3-3,90,0,0,0,0,55,0,46,2,1,1,1,2,6.3
2023-03-18,Toulouse,Lille,0-2,89,0,0,1,0,53,0,50,3,0,4,3,1,7.5
2023-04-02,Lille,Lorient,3-1,82,0,0,2,1,39,1,31,0,1,0,0,4,7.3
2023-04-08,Angers,Lille,1-0,90,0,0,0,0,42,0,37,3,1,2,2,2,7
2023-04-16,Lille,Montpellier,2-1,45,0,0,1,0,25,0,23,0,1,2,1,0,6.3
2023-04-22,Auxerre,Lille,1-1,12,0,0,0,0,9,0,9,0,0,0,0,0,6.7
2023-04-29,Lille,Ajaccio,3-0,37,0,0,0,0,26,1,22,0,0,1,0,2,6.6
2023-05-06,Reims,Lille,1-0,27,0,0,0,0,13,1,11,0,0,1,1,1,6.6
2023-05-14,Monaco,Lille,0-0,65,0,0,1,1,18,0,13,0,0,1,1,0,6.3
2023-05-20,Lille,Marseille,2-1,90,0,0,2,0,32,0,23,1,1,1,1,1,7.3
2023-05-27,Lille,Nantes,2-1,74,0,0,0,0,46,1,41,1,1,5,2,0,6.3
2023-06-03,Estac Troyes,Lille,1-1,45,0,0,0,0,23,0,17,0,1,0,0,0,6.5
